Date,Open,High,Low,Close,Volume
10/18/2021,632.10,638.41,620.59,637.97,4669071
10/19/2021,636.97,641.00,632.30,639.00,7633147
10/20/2021,625.57,637.40,617.15,625.14,10622000
10/21/2021,628.89,654.01,628.65,653.16,8437070
10/22/2021,651.81,665.46,651.81,664.78,6186016
10/25/2021,663.74,675.88,657.07,671.66,3833526
10/26/2021,673.76,676.49,662.77,668.52,2904840
10/27/2021,669.00,671.41,661.85,662.92,2276914
10/28/2021,670.95,676.80,668.03,674.05,2859409
10/29/2021,673.06,690.97,671.24,690.31,3825279
11/1/2021,689.06,689.97,676.54,681.17,3110911
11/2/2021,683.11,687.68,673.82,677.72,3888597
11/3/2021,677.27,689.39,677.27,688.29,2334852
11/4/2021,685.89,685.94,665.50,668.40,4865023
11/5/2021,663.97,665.64,645.01,645.72,5283488
11/8/2021,650.29,656.00,643.79,651.45,2887523
11/9/2021,653.70,660.50,650.52,655.99,2415630
11/10/2021,653.01,660.33,642.11,646.91,2405785
11/11/2021,650.24,665.82,649.71,657.58,2868311
11/12/2021,660.01,683.34,653.82,682.61,4198410
11/15/2021,681.24,685.26,671.49,679.33,2872186
11/16/2021,678.27,688.36,676.90,687.40,2077387
11/17/2021,690.00,700.99,686.09,691.69,2732831
11/18/2021,691.61,691.74,679.74,682.02,2014992
11/19/2021,692.35,694.16,675.00,678.80,2614852
11/22/2021,676.02,679.48,656.47,659.20,2765318
11/23/2021,658.18,666.43,646.05,654.06,2320917
11/24/2021,658.01,661.44,651.10,658.29,1867282
11/26/2021,675.00,676.41,660.67,665.64,2872513
11/29/2021,663.20,667.99,658.29,663.84,2529364
11/30/2021,668.20,675.38,640.01,641.90,5608919
12/1/2021,649.48,654.52,617.07,617.77,3897019
12/2/2021,617.10,625.36,612.88,616.47,3331131
12/3/2021,622.75,625.50,594.00,602.13,4829282
