Date,Open,High,Low,Close,Volume
12/4/2020,3198.21,3198.21,3158.76,3162.58,2913611
12/7/2020,3156.48,3180.76,3141.69,3158.00,2751316
12/8/2020,3158.90,3184.13,3120.02,3177.29,3286303
12/9/2020,3167.89,3174.43,3088.00,3104.20,4100836
12/10/2020,3088.99,3142.10,3076.00,3101.49,3030186
12/11/2020,3096.66,3118.67,3072.82,3116.42,3064695
12/14/2020,3143.00,3190.47,3126.00,3156.97,4155794
12/15/2020,3181.01,3188.50,3130.49,3165.12,3323686
12/16/2020,3176.01,3247.00,3163.68,3240.96,4427616
12/17/2020,3250.00,3263.51,3221.00,3236.08,3474347
12/18/2020,3243.99,3249.42,3171.60,3201.65,5995713
12/21/2020,3200.01,3226.97,3166.00,3206.18,3836846
12/22/2020,3202.84,3222.00,3180.08,3206.52,2381781
12/23/2020,3205.00,3210.13,3184.17,3185.27,2093787
12/24/2020,3193.90,3202.00,3169.00,3172.69,1451917
12/28/2020,3194.00,3304.00,3172.69,3283.96,5686787
12/29/2020,3309.94,3350.65,3281.22,3322.00,4872933
12/30/2020,3341.00,3342.10,3282.47,3285.85,3209310
12/31/2020,3275.00,3282.92,3241.20,3256.93,2957206
1/4/2021,3270.00,3272.00,3144.02,3186.63,4411449
1/5/2021,3166.01,3223.38,3165.06,3218.51,2655548
1/6/2021,3146.48,3197.51,3131.16,3138.38,4394815
1/7/2021,3157.00,3208.54,3155.00,3162.16,3514545
1/8/2021,3180.00,3190.64,3142.20,3182.70,3537744
1/11/2021,3148.01,3156.38,3110.00,3114.21,3669095
1/12/2021,3120.00,3142.14,3086.00,3120.83,3514582
1/13/2021,3128.44,3189.95,3122.08,3165.89,3321244
1/14/2021,3167.52,3178.00,3120.59,3127.47,3070919
1/15/2021,3123.02,3142.55,3095.17,3104.25,4243995
1/19/2021,3107.00,3145.00,3096.00,3120.76,3305142
1/20/2021,3181.99,3279.80,3175.00,3263.38,5309835
1/21/2021,3293.00,3348.55,3289.57,3306.99,4945051
1/22/2021,3304.31,3321.91,3283.16,3292.23,2821914
1/25/2021,3328.50,3363.89,3243.15,3294.00,3749758
